proceeding_id,type,name
1,Seminar,Revolutionize Intuitive Supply-Chains
2,Workshop,Optimize Mission-Critical Mindshare
3,Seminar,Mesh Next-Generation E-Commerce
4,Symposium,Envisioneer Viral Content
5,Symposium,Expedite Leading-Edge Systems
6,Seminar,Deliver Cutting-Edge Web Services
7,Workshop,Seize Bleeding-Edge Deliverables
8,Seminar,Transform One-To-One Paradigms
9,Workshop,Exploit Cross-Media Schemas
10,Symposium,Cultivate Plug-And-Play Web-Readiness
11,Symposium,Empower Wireless Channels
12,Seminar,Drive Web-Enabled Solutions
13,Seminar,Deploy Front-End Niches
14,Seminar,Drive Robust Metrics
15,Workshop,Mesh Out-Of-The-Box Interfaces
