paper_id,keyword_id
9,25
3,26
69,31
140,13
130,39
107,25
105,22
59,21
7,26
62,24
70,7
28,22
87,22
16,23
139,16
100,5
131,14
28,29
105,8
98,18
96,14
105,14
75,13
21,30
143,17
107,32
14,32
52,36
41,4
50,33
65,28
71,24
19,10
73,14
106,19
14,11
117,39
112,18
150,27
62,36
133,30
97,15
131,34
57,31
129,19
91,40
119,17
119,5
70,4
122,3
99,39
67,13
94,3
121,14
11,3
43,7
150,20
150,31
20,14
27,19
26,36
100,24
41,33
147,34
112,36
82,24
138,23
65,38
21,25
140,10
31,32
40,36
109,30
4,15
86,37
127,35
66,36
60,9
61,8
62,24
2,25
129,30
65,1
99,2
72,8
23,16
74,28
29,18
120,1
88,4
107,26
126,16
6,5
51,7
129,35
106,24
146,29
135,6
52,10
19,38
43,14
112,30
132,17
21,31
15,36
95,30
119,4
113,23
109,1
25,40
41,6
29,11
104,26
94,32
113,32
89,7
71,7
85,39
100,20
113,30
27,27
85,13
6,3
89,6
79,1
103,20
144,19
134,7
101,31
93,9
30,20
11,15
47,34
20,20
6,19
84,17
93,36
148,9
14,2
58,7
105,10
11,12
102,21
55,21
59,23
99,19
9,19
31,35
86,34
149,39
104,28
108,9
75,22
139,5
57,7
136,36
76,31
136,33
120,26
92,1
117,31
126,39
10,33
99,18
7,33
146,30
114,18
117,21
61,32
123,32
138,31
35,20
35,34
138,16
57,35
137,13
99,6
66,12
146,37
129,20
131,3
27,27
111,1
4,23
92,40
27,35
134,6
20,33
89,8
37,40
132,13
12,16
34,27
84,28
18,40
8,24
97,7
80,16
107,28
76,6
54,4
111,13
11,40
77,30
142,16
45,14
30,2
10,8
59,32
9,21
30,29
41,3
143,34
26,28
55,4
1,3
43,20
120,24
104,27
40,32
22,6
145,3
64,36
74,31
150,29
132,39
85,4
84,2
65,33
56,30
71,8
74,2
3,32
48,40
69,14
24,9
94,40
123,17
74,24
75,37
12,35
85,13
3,38
110,24
14,31
144,31
150,3
142,29
82,30
104,24
68,40
33,37
72,32
8,9
54,12
92,21
64,31
88,17
113,1
10,15
22,9
28,38
95,20
59,40
147,24
10,23
96,6
126,24
136,40
50,32
140,11
145,17
108,10
127,34
129,10
89,24
149,10
97,14
1,22
112,38
105,11
58,24
129,5
76,35
4,6
10,3
22,37
46,23
138,26
23,11
36,1
35,20
52,31
124,31
72,25
94,12
43,12
147,13
69,37
136,29
