author_id,paper_id,corresponding
1,32,False
38,105,True
27,56,False
40,59,True
41,92,True
35,99,False
21,71,True
17,82,True
24,75,True
32,43,True
25,90,False
34,116,True
23,59,True
3,54,True
34,65,True
31,65,True
16,102,False
47,90,True
15,74,False
25,117,True
17,25,False
26,149,True
4,50,False
34,44,False
37,95,False
15,71,True
4,28,False
30,120,False
5,3,True
34,94,True
26,110,True
19,52,True
48,1,True
41,137,True
14,115,False
26,128,True
44,123,False
2,38,True
23,89,True
1,118,True
16,8,False
45,104,True
15,66,True
29,105,False
14,67,True
22,98,False
41,26,False
39,131,False
21,146,False
19,59,False
32,124,False
43,141,False
40,150,True
31,40,False
10,146,False
8,31,False
33,41,True
44,142,True
39,139,False
14,24,False
12,147,True
34,15,False
16,122,False
45,119,False
41,11,True
13,54,True
35,142,False
7,139,False
32,40,True
44,129,True
48,102,True
10,143,True
31,67,True
47,7,False
24,116,True
9,32,True
4,101,True
24,136,False
46,67,True
20,119,True
15,98,True
40,68,False
33,148,False
21,17,True
48,78,False
33,89,False
46,116,True
44,105,True
5,62,True
28,119,False
22,7,False
23,33,True
15,46,True
24,115,True
43,144,False
41,142,False
42,74,True
5,77,False
16,17,True
32,87,True
12,132,True
15,3,True
29,54,False
23,143,True
28,7,True
47,60,False
16,36,False
29,56,False
3,6,True
33,17,False
35,20,True
10,59,False
5,145,False
5,138,True
47,90,False
38,84,True
35,77,True
11,3,False
29,1,True
35,66,False
3,21,False
50,143,False
27,110,True
16,105,False
12,73,False
25,136,True
41,83,True
6,138,False
49,32,False
25,76,False
46,81,False
38,83,True
37,141,False
9,106,True
6,11,True
8,41,False
26,128,True
3,89,False
15,126,False
12,144,False
14,54,False
6,12,True
22,77,False
5,148,True
25,113,False
19,69,False
6,94,True
32,36,False
39,142,False
37,138,False
46,50,True
30,93,False
11,3,False
22,18,True
48,86,True
15,74,False
41,22,False
1,15,True
48,120,True
41,43,False
25,73,False
13,87,True
31,124,True
2,36,True
48,98,False
18,96,True
27,36,True
44,128,True
48,34,False
37,76,False
43,15,True
45,54,False
1,69,True
47,140,False
50,94,False
22,138,True
22,129,False
46,112,True
16,79,False
41,13,False
19,101,True
14,41,False
17,119,True
25,64,False
46,127,False
33,147,False
6,148,True
41,79,True
44,140,False
8,29,False
45,146,True
43,138,False
48,13,True
30,111,False
23,119,False
23,24,True
21,132,False
41,106,True
39,149,False
6,144,True
